z,n,name,bindingEnergy,bindingEnergykev,bindingEnergy per nucleon,bindingEnergyUncertainty
1,1,2H,2.22,2220,1.11E+3,2.00E-4
1,2,3H,8.46,8460,2.82E+3,3.00E-4
1,3,4H,6.88,6880,1.72E+3,2.50E+1
1,4,5H,6.65,6650,1.33E+3,1.78E+1
1,5,6H,5.766,5766,9.61E+2,4.23E+1
1,6,7H,6.58,6580,9.40E+2,1.43E+2
2,1,3He,7.71,7710,2.57E+3,1.50E-4
2,2,4He,28.28,28280,7.07E+3,2.00E-4
2,3,5He,27.55,27550,5.51E+3,4
2,4,6He,29.22,29220,4.87E+3,8.90E-3
2,5,7He,28.84,28840,4.12E+3,1.07
2,6,8He,31.36,31360,3.92E+3,1.11E-2
2,7,9He,30.06,30060,3.34E+3,5.2
2,8,10He,29.9,29900,2.99E+3,9.28
3,1,4Li,4.6,4600,1.15E+3,5.30E+1
3,2,5Li,26.3,26300,5.26E+3,1.00E+1
3,3,6Li,31.98,31980,5.33E+3,3.00E-4
3,4,7Li,39.2,39200,5.60E+3,6.00E-4
3,5,8Li,41.2,41200,5.15E+3,5.90E-3
3,6,9Li,45.27,45270,5.03E+3,2.07E-2
3,7,10Li,45.3,45300,4.53E+3,1.27
3,8,11Li,45.65,45650,4.15E+3,5.59E-2
3,9,12Li,45.48,45480,3.79E+3,2.5
3,10,13Li,45.5,45500,3.50E+3,5.38
4,2,6Be,26.88,26880,4.48E+3,9.08E-1
4,3,7Be,37.59,37590,5.37E+3,1.01E-2
4,4,8Be,56.48,56480,7.06E+3,4.40E-3
4,5,9Be,58.14,58140,6.46E+3,8.50E-3
4,6,10Be,64.9,64900,6.49E+3,8.10E-3
4,7,11Be,65.45,65450,5.95E+3,2.16E-2
4,8,12Be,68.64,68640,5.72E+3,1.59E-1
4,9,13Be,68.12,68120,5.24E+3,7.83E-1
4,11,15Be,68.1,68100,4.54E+3,1.10E+1
4,12,16Be,68.48,68480,4.28E+3,1.03E+1
4,10,14Be,69.86,69860,4.99E+3,9.44
5,12,17B,89.42,89420,5.26E+3,1.20E+1
5,13,18B,89.46,89460,4.97E+3,1.13E+1
5,14,19B,89.49,89490,4.71E+3,2.76E+1
5,15,20B,88,88000,4.40E+3,2.73E+1
5,16,21B,87.15,87150,4.15E+3,2.66E+1
5,10,15B,88.2,88200,5.88E+3,1.4
5,11,16B,88,88000,5.50E+3,1.53
5,2,7B,24.85,24850,3.55E+3,3.59
5,3,8B,37.68,37680,4.71E+3,1.25E-1
5,4,9B,56.25,56250,6.25E+3,1.00E-1
5,5,10B,64.7,64700,6.47E+3,1.50E-3
5,6,11B,76.12,76120,6.92E+3,1.10E-3
5,7,12B,79.56,79560,6.63E+3,1.10E-1
5,8,13B,84.37,84370,6.49E+3,7.69E-2
5,9,14B,85.4,85400,6.10E+3,1.51
6,2,8C,24.8,24800,3.10E+3,2.28
6,3,9C,38.97,38970,4.33E+3,2.37E-1
6,4,10C,60.3,60300,6.03E+3,7.00E-3
6,5,11C,73.37,73370,6.67E+3,5.40E-3
6,6,12C,92.16,92160,7.68E+3,2.00E-4
6,7,13C,96.98,96980,7.46E+3,2.00E-4
6,8,14C,105.28,105280,7.52E+3,4.00E-4
6,9,15C,106.5,106500,7.10E+3,5.33E-2
6,14,20C,119.2,119200,5.96E+3,1.15E+1
6,13,19C,116.09,116090,6.11E+3,5.17
6,16,22C,119.24,119240,5.42E+3,1.05E+1
6,10,16C,110.72,110720,6.92E+3,2.23E-1
6,12,18C,115.56,115560,6.42E+3,1.66
6,11,17C,111.35,111350,6.55E+3,1.02
7,15,22N,140.14,140140,6.37E+3,9.44
7,14,21N,138.6,138600,6.60E+3,6.38
7,17,24N,141.12,141120,5.88E+3,1.70E+1
7,16,23N,143.29,143290,6.23E+3,1.82E+1
7,11,18N,126.54,126540,7.03E+3,1.03
7,10,17N,123.76,123760,7.28E+3,8.82E-1
7,13,20N,134,134000,6.70E+3,3.94
7,12,19N,131.86,131860,6.94E+3,8.63E-1
7,3,10N,36.4,36400,3.64E+3,4.00E+1
7,4,11N,58.85,58850,5.35E+3,4.54E-1
7,5,12N,74.04,74040,6.17E+3,8.33E-2
7,6,13N,93.99,93990,7.23E+3,2.07E-2
7,7,14N,104.58,104580,7.47E+3,2.00E-4
7,8,15N,115.35,115350,7.69E+3,2.00E-4
7,9,16N,117.92,117920,7.37E+3,1.43E-1
8,17,25O,168,168000,6.72E+3,6.6
8,18,26O,168.74,168740,6.49E+3,6.34
8,15,23O,164.68,164680,7.16E+3,5.29
8,16,24O,168.72,168720,7.03E+3,6.86
8,10,18O,139.68,139680,7.76E+3,2.00E-4
8,13,21O,154.98,154980,7.38E+3,5.71E-1
8,14,22O,161.92,161920,7.36E+3,2.58
8,11,19O,143.64,143640,7.56E+3,1.38E-1
8,12,20O,151.2,151200,7.56E+3,4.42E-2
8,20,28O,167.44,167440,5.98E+3,2.50E+1
8,3,11O,34.76,34760,3.16E+3,5.45
8,4,12O,58.56,58560,4.88E+3,1
8,5,13O,75.53,75530,5.81E+3,7.32E-1
8,6,14O,98.7,98700,7.05E+3,1.80E-3
8,7,15O,111.9,111900,7.46E+3,3.27E-2
8,8,16O,127.52,127520,7.97E+3,2.00E-4
8,9,17O,131.75,131750,7.75E+3,2.00E-4
9,18,27F,185.49,185490,6.87E+3,4.45
9,19,28F,185.36,185360,6.62E+3,4.29
9,16,25F,183.25,183250,7.33E+3,3.85
9,17,26F,184.08,184080,7.08E+3,4.11
